Education Level,Years of Experience,Location,Industry,Job Title,Job Type,Salary
PhD,36,Suburban,Tech,UX Designer,Hybrid,91638.23
Bachelor's Degree,1,Urban,Healthcare,Project Manager,Onsite,42169.75
Master's Degree,27,Rural,Tech,Software Engineer,Hybrid,82041.11
Bachelor's Degree,11,Rural,Finance,System Administrator,Remote,59855.1
High School,2,Urban,Tech,Accountant,Remote,41620.44
Bachelor's Degree,39,Urban,Healthcare,Web Developer,Onsite,99763.03
Master's Degree,26,Urban,Education,Data Analyst,Onsite,83719.52
Bachelor's Degree,32,Suburban,Healthcare,Others,Hybrid,85270.62
High School,35,Urban,Education,Project Manager,Remote,78919.46
Bachelor's Degree,37,Suburban,Education,UX Designer,Remote,91447.84
Bachelor's Degree,12,Suburban,Finance,Web Developer,Onsite,54163.73
High School,21,Suburban,Tech,Accountant,Remote,71215.9
High School,2,Suburban,Tech,Web Developer,Remote,40039.03
Master's Degree,7,Urban,Tech,System Administrator,Remote,55305.05
PhD,16,Suburban,Healthcare,Financial Analyst,Hybrid,70124.81
High School,30,Suburban,Finance,Accountant,Onsite,76603.87
Master's Degree,8,Rural,Tech,Data Analyst,Hybrid,48698.35
High School,37,Rural,Healthcare,Financial Analyst,Hybrid,87012.16
Bachelor's Degree,0,Rural,Education,Medical Assistant,Remote,27516.0
High School,39,Urban,Tech,Financial Analyst,Remote,92575.75
High School,35,Urban,Finance,Financial Analyst,Remote,87957.32
Bachelor's Degree,37,Urban,Tech,Data Analyst,Hybrid,90468.36
Master's Degree,35,Rural,Education,Financial Analyst,Remote,101117.14
Master's Degree,20,Urban,Finance,Software Engineer,Hybrid,75384.97
Bachelor's Degree,3,Suburban,Healthcare,Others,Remote,42240.23
Bachelor's Degree,34,Suburban,Education,Professor,Remote,90406.74
PhD,0,Urban,Finance,Data Analyst,Onsite,42375.37
Bachelor's Degree,25,Rural,Tech,System Administrator,Onsite,73843.88
PhD,5,Rural,Tech,Web Developer,Remote,50368.23
Master's Degree,1,Suburban,Healthcare,Professor,Hybrid,49447.21
PhD,38,Rural,Finance,Financial Analyst,Hybrid,92585.08
High School,31,Rural,Finance,Medical Assistant,Hybrid,68882.01
Master's Degree,16,Suburban,Finance,Medical Assistant,Onsite,58377.51
Master's Degree,37,Suburban,Education,Data Analyst,Onsite,89991.31
PhD,40,Urban,Tech,Accountant,Hybrid,101431.27
Bachelor's Degree,36,Suburban,Tech,Medical Assistant,Onsite,95725.09
High School,9,Urban,Healthcare,Data Analyst,Remote,47773.3
Master's Degree,22,Rural,Finance,System Administrator,Remote,74620.26
Master's Degree,32,Suburban,Finance,Project Manager,Remote,87246.87
Master's Degree,38,Rural,Healthcare,Medical Assistant,Onsite,95502.25
High School,23,Urban,Healthcare,Medical Assistant,Remote,67398.66
PhD,32,Suburban,Education,System Administrator,Remote,106310.26
PhD,8,Rural,Healthcare,HR Manager,Remote,61295.38
Bachelor's Degree,6,Suburban,Education,Data Analyst,Onsite,36453.21
Bachelor's Degree,31,Rural,Tech,UX Designer,Hybrid,78089.63
PhD,19,Suburban,Tech,UX Designer,Onsite,79261.74
Bachelor's Degree,23,Urban,Tech,Financial Analyst,Remote,68448.81
High School,30,Rural,Finance,Professor,Onsite,76228.34
Bachelor's Degree,32,Urban,Education,Web Developer,Hybrid,85140.68
Bachelor's Degree,1,Urban,Education,Software Engineer,Remote,55313.42
PhD,35,Urban,Finance,Medical Assistant,Onsite,101251.76
High School,6,Urban,Education,UX Designer,Remote,41201.69
High School,13,Rural,Education,Software Engineer,Onsite,42479.22
Bachelor's Degree,35,Suburban,Education,Medical Assistant,Onsite,92426.14
Bachelor's Degree,4,Suburban,Healthcare,Web Developer,Remote,44881.5
PhD,35,Rural,Healthcare,Others,Hybrid,92408.14
High School,33,Urban,Tech,Data Analyst,Remote,93667.18
High School,24,Urban,Education,HR Manager,Hybrid,70121.32
High School,9,Urban,Education,Software Engineer,Onsite,49612.86
PhD,6,Rural,Tech,Professor,Remote,50442.28
Bachelor's Degree,24,Suburban,Education,Others,Hybrid,65620.13
PhD,3,Suburban,Tech,Software Engineer,Onsite,45006.34
PhD,40,Rural,Education,Software Engineer,Onsite,108651.25
Master's Degree,37,Rural,Education,Data Analyst,Onsite,93643.6
PhD,35,Rural,Tech,Data Analyst,Hybrid,93306.86
High School,30,Rural,Healthcare,Project Manager,Onsite,72299.35
Bachelor's Degree,25,Rural,Tech,Medical Assistant,Onsite,83327.61
High School,29,Suburban,Tech,Data Analyst,Remote,81773.1
Master's Degree,3,Urban,Tech,HR Manager,Onsite,46153.51
Master's Degree,38,Rural,Finance,Data Analyst,Onsite,93599.16
PhD,29,Suburban,Finance,Medical Assistant,Hybrid,91933.87
Master's Degree,19,Rural,Finance,Data Analyst,Hybrid,65290.89
PhD,19,Rural,Tech,Professor,Remote,84280.52
PhD,38,Urban,Healthcare,Data Analyst,Hybrid,105233.65
PhD,29,Suburban,Healthcare,Project Manager,Remote,90634.03
Master's Degree,29,Urban,Tech,HR Manager,Remote,84742.34
Master's Degree,38,Suburban,Finance,Web Developer,Remote,104145.33
High School,13,Suburban,Healthcare,System Administrator,Onsite,50914.73
High School,17,Suburban,Healthcare,System Administrator,Onsite,51819.78
High School,40,Urban,Finance,HR Manager,Hybrid,86250.17
High School,35,Urban,Tech,System Administrator,Onsite,86100.65
Bachelor's Degree,31,Rural,Finance,Accountant,Remote,88265.05
High School,28,Urban,Tech,UX Designer,Onsite,73785.98
High School,20,Suburban,Healthcare,Professor,Onsite,65693.9
Bachelor's Degree,10,Urban,Tech,HR Manager,Onsite,59016.89
High School,22,Urban,Tech,Medical Assistant,Onsite,67166.42
PhD,13,Rural,Finance,Project Manager,Remote,70500.09
PhD,7,Suburban,Education,Financial Analyst,Onsite,65548.25
High School,12,Suburban,Education,Medical Assistant,Hybrid,48820.08
PhD,2,Suburban,Education,System Administrator,Hybrid,49326.59
PhD,2,Urban,Healthcare,UX Designer,Onsite,43612.0
Bachelor's Degree,17,Rural,Finance,Financial Analyst,Onsite,68386.85
PhD,37,Suburban,Education,Others,Remote,102535.09
Bachelor's Degree,3,Rural,Tech,UX Designer,Onsite,30589.42
High School,16,Urban,Education,Project Manager,Onsite,51550.78
Bachelor's Degree,28,Rural,Tech,Professor,Remote,75196.1
Master's Degree,23,Urban,Education,Others,Hybrid,73337.66
Bachelor's Degree,8,Rural,Tech,System Administrator,Remote,45041.14
High School,37,Suburban,Education,Accountant,Onsite,77027.82
Master's Degree,36,Rural,Finance,Financial Analyst,Remote,99401.68
PhD,38,Urban,Tech,Financial Analyst,Hybrid,107899.67
Bachelor's Degree,17,Urban,Education,UX Designer,Hybrid,57012.05
PhD,32,Suburban,Finance,Medical Assistant,Onsite,93050.21
Master's Degree,33,Suburban,Healthcare,Web Developer,Remote,96552.92
PhD,28,Rural,Education,Project Manager,Remote,89498.25
PhD,16,Suburban,Tech,Data Analyst,Onsite,69533.57
Bachelor's Degree,36,Rural,Finance,Others,Onsite,94004.1
High School,34,Suburban,Healthcare,Project Manager,Onsite,77091.64
High School,3,Rural,Education,HR Manager,Hybrid,30584.36
PhD,21,Rural,Finance,Others,Remote,82944.89
High School,33,Urban,Healthcare,Professor,Hybrid,86441.5
PhD,10,Rural,Education,Software Engineer,Hybrid,55420.39
Bachelor's Degree,17,Suburban,Finance,HR Manager,Hybrid,57280.47
PhD,5,Suburban,Finance,Web Developer,Hybrid,52330.63
Master's Degree,30,Urban,Finance,Project Manager,Remote,85757.71
PhD,24,Urban,Tech,System Administrator,Remote,86255.21
High School,30,Suburban,Tech,Medical Assistant,Hybrid,76309.3
Bachelor's Degree,23,Suburban,Education,Medical Assistant,Onsite,75670.85
PhD,22,Rural,Tech,Medical Assistant,Hybrid,70178.98
PhD,20,Suburban,Tech,HR Manager,Onsite,74064.26
PhD,6,Rural,Finance,Software Engineer,Hybrid,57630.91
Bachelor's Degree,7,Rural,Healthcare,Project Manager,Remote,37831.4
Master's Degree,30,Urban,Healthcare,Software Engineer,Onsite,87791.43
High School,13,Rural,Tech,UX Designer,Hybrid,47248.88
PhD,0,Urban,Education,Medical Assistant,Remote,59243.32
PhD,23,Suburban,Education,Professor,Remote,75961.79
Master's Degree,16,Suburban,Finance,HR Manager,Onsite,72896.95
Bachelor's Degree,37,Rural,Healthcare,Data Analyst,Hybrid,97315.17
Bachelor's Degree,4,Rural,Healthcare,Web Developer,Remote,43758.19
High School,13,Suburban,Healthcare,Data Analyst,Hybrid,48445.4
Bachelor's Degree,5,Urban,Finance,System Administrator,Onsite,47314.55
High School,12,Suburban,Healthcare,Web Developer,Onsite,47462.78
Bachelor's Degree,24,Urban,Education,Software Engineer,Remote,80207.6
Bachelor's Degree,22,Suburban,Education,Project Manager,Onsite,71876.69
Bachelor's Degree,26,Rural,Tech,UX Designer,Remote,68813.86
High School,36,Suburban,Education,Web Developer,Remote,90744.11
Bachelor's Degree,14,Urban,Finance,HR Manager,Hybrid,58830.7
High School,19,Urban,Healthcare,Others,Hybrid,54751.29
Bachelor's Degree,21,Rural,Education,Project Manager,Onsite,67516.61
PhD,2,Suburban,Finance,Data Analyst,Onsite,44578.09
Master's Degree,9,Urban,Healthcare,Medical Assistant,Remote,61419.88
Master's Degree,30,Rural,Education,Software Engineer,Onsite,85273.41
Master's Degree,6,Urban,Healthcare,HR Manager,Onsite,54882.14
Master's Degree,29,Suburban,Tech,Web Developer,Hybrid,73981.41
Bachelor's Degree,25,Suburban,Healthcare,UX Designer,Remote,76680.78
Master's Degree,26,Rural,Healthcare,Financial Analyst,Remote,90682.21
High School,32,Rural,Education,Others,Onsite,87998.78
PhD,16,Suburban,Finance,Data Analyst,Hybrid,63728.1
Bachelor's Degree,24,Suburban,Education,Financial Analyst,Hybrid,70220.91
High School,30,Rural,Education,Medical Assistant,Remote,76560.31
Master's Degree,9,Rural,Healthcare,Others,Hybrid,39967.41
PhD,0,Suburban,Healthcare,Professor,Hybrid,42646.63
High School,36,Suburban,Healthcare,Accountant,Remote,88362.59
PhD,25,Rural,Education,Financial Analyst,Remote,90652.19
Bachelor's Degree,9,Urban,Finance,Accountant,Onsite,48535.86
Master's Degree,37,Rural,Healthcare,Project Manager,Remote,103862.21
Bachelor's Degree,1,Rural,Healthcare,Others,Hybrid,40982.5
Master's Degree,23,Urban,Tech,Web Developer,Onsite,62797.87
PhD,27,Rural,Education,HR Manager,Remote,83506.75
Master's Degree,11,Urban,Tech,Project Manager,Onsite,53568.13
PhD,40,Suburban,Tech,Data Analyst,Remote,113807.52
High School,6,Rural,Healthcare,UX Designer,Remote,41075.62
Bachelor's Degree,22,Rural,Tech,System Administrator,Remote,68894.85
Master's Degree,38,Suburban,Tech,Software Engineer,Remote,92512.26
Bachelor's Degree,28,Rural,Education,Others,Remote,82640.18
Bachelor's Degree,18,Suburban,Finance,HR Manager,Hybrid,58157.82
High School,14,Rural,Healthcare,Professor,Hybrid,50928.65
PhD,34,Rural,Finance,HR Manager,Hybrid,95017.54
Bachelor's Degree,13,Suburban,Tech,Professor,Remote,58297.46
PhD,35,Urban,Finance,Financial Analyst,Onsite,101319.86
PhD,2,Rural,Education,Accountant,Hybrid,49319.87
High School,2,Rural,Tech,Others,Remote,29580.73
High School,18,Suburban,Education,Project Manager,Onsite,58960.66
Master's Degree,9,Rural,Healthcare,Web Developer,Hybrid,45687.66
PhD,17,Suburban,Finance,HR Manager,Hybrid,67768.88
High School,9,Urban,Tech,Project Manager,Onsite,42897.99
High School,8,Suburban,Healthcare,Software Engineer,Onsite,30221.48
PhD,32,Suburban,Healthcare,Professor,Remote,103872.93
PhD,29,Urban,Education,Software Engineer,Onsite,89193.59
PhD,25,Urban,Healthcare,UX Designer,Onsite,85749.03
Master's Degree,21,Rural,Healthcare,Others,Onsite,64537.62
High School,40,Rural,Education,Accountant,Onsite,86845.22
High School,35,Urban,Finance,System Administrator,Hybrid,83635.27
Master's Degree,27,Urban,Tech,Software Engineer,Remote,86072.76
High School,23,Rural,Education,Data Analyst,Remote,73255.49
Bachelor's Degree,2,Rural,Education,Professor,Onsite,40276.96
PhD,18,Rural,Education,HR Manager,Hybrid,73000.17
Bachelor's Degree,5,Urban,Healthcare,Others,Hybrid,44164.95
Bachelor's Degree,19,Urban,Healthcare,Others,Onsite,63246.3
PhD,1,Rural,Tech,Software Engineer,Remote,39491.47
Bachelor's Degree,0,Suburban,Finance,Medical Assistant,Onsite,35705.57
Master's Degree,23,Urban,Education,Accountant,Remote,71875.08
PhD,8,Rural,Education,Accountant,Onsite,59979.0
Bachelor's Degree,34,Rural,Healthcare,Financial Analyst,Onsite,80343.7
High School,38,Rural,Healthcare,Data Analyst,Onsite,92737.5
Bachelor's Degree,1,Urban,Healthcare,Software Engineer,Hybrid,28924.34
PhD,5,Suburban,Tech,Medical Assistant,Onsite,48517.6
Bachelor's Degree,26,Suburban,Education,Data Analyst,Hybrid,66634.62
High School,22,Urban,Education,Medical Assistant,Remote,63940.33
Bachelor's Degree,26,Rural,Finance,UX Designer,Hybrid,73357.17
PhD,14,Urban,Education,Project Manager,Onsite,69070.35
PhD,25,Rural,Healthcare,Data Analyst,Hybrid,75379.2
High School,17,Rural,Healthcare,HR Manager,Remote,63948.15
Bachelor's Degree,28,Rural,Tech,Medical Assistant,Onsite,75203.57
Master's Degree,12,Urban,Education,Project Manager,Hybrid,60091.4
High School,21,Urban,Healthcare,Others,Hybrid,56653.86
Bachelor's Degree,13,Suburban,Healthcare,Financial Analyst,Hybrid,55103.95
Bachelor's Degree,0,Urban,Education,Professor,Onsite,33249.89
Bachelor's Degree,16,Suburban,Healthcare,System Administrator,Remote,62017.91
Bachelor's Degree,0,Suburban,Finance,Web Developer,Onsite,34026.68
PhD,29,Suburban,Healthcare,Professor,Hybrid,91110.09
PhD,11,Rural,Finance,Data Analyst,Hybrid,59352.47
Master's Degree,40,Suburban,Finance,Data Analyst,Onsite,95016.24
PhD,9,Rural,Finance,Accountant,Remote,51980.69
PhD,23,Suburban,Tech,Professor,Onsite,75368.38
PhD,5,Urban,Finance,Accountant,Hybrid,49040.07
Bachelor's Degree,8,Suburban,Finance,Data Analyst,Remote,46291.62
PhD,30,Urban,Tech,Medical Assistant,Hybrid,84702.15
Bachelor's Degree,16,Rural,Education,System Administrator,Onsite,68968.18
PhD,16,Rural,Healthcare,Web Developer,Onsite,64211.42
PhD,17,Rural,Finance,Others,Onsite,69160.51
PhD,30,Urban,Education,Medical Assistant,Onsite,88456.11
PhD,33,Urban,Education,Project Manager,Onsite,91640.43
Bachelor's Degree,11,Rural,Finance,Others,Hybrid,54367.05
PhD,31,Urban,Healthcare,UX Designer,Onsite,88530.4
Bachelor's Degree,35,Urban,Finance,Project Manager,Onsite,95264.57
High School,12,Urban,Finance,Professor,Remote,56033.98
PhD,12,Suburban,Healthcare,Software Engineer,Hybrid,65913.7
Bachelor's Degree,39,Suburban,Education,Web Developer,Hybrid,94407.36
PhD,15,Rural,Tech,Accountant,Remote,67893.84
High School,37,Rural,Tech,Project Manager,Hybrid,81111.89
High School,35,Urban,Tech,Others,Remote,90273.66
PhD,20,Urban,Finance,Accountant,Onsite,76524.38
High School,17,Urban,Finance,Financial Analyst,Onsite,50439.62
High School,25,Urban,Finance,Professor,Hybrid,69451.35
High School,34,Rural,Education,Project Manager,Onsite,77736.48
High School,6,Suburban,Education,Accountant,Remote,40852.51
Bachelor's Degree,10,Urban,Finance,UX Designer,Remote,57493.55
High School,7,Rural,Education,Medical Assistant,Remote,36530.91
PhD,35,Rural,Finance,Data Analyst,Remote,101420.6
Master's Degree,16,Suburban,Healthcare,Financial Analyst,Hybrid,62062.54
Master's Degree,25,Urban,Tech,Others,Hybrid,83062.52
Bachelor's Degree,19,Urban,Education,Project Manager,Hybrid,64986.76
High School,35,Rural,Healthcare,Financial Analyst,Hybrid,89318.04
High School,7,Rural,Healthcare,Financial Analyst,Remote,45810.38
Master's Degree,36,Urban,Education,Data Analyst,Hybrid,93633.77
PhD,9,Rural,Healthcare,Others,Remote,65939.49
PhD,26,Urban,Finance,Data Analyst,Onsite,78085.38
Master's Degree,6,Rural,Education,Software Engineer,Remote,53957.35
High School,39,Suburban,Tech,Accountant,Onsite,97098.79
Master's Degree,14,Suburban,Tech,Accountant,Remote,69206.61
Bachelor's Degree,32,Urban,Finance,Professor,Remote,91774.33
High School,0,Urban,Finance,System Administrator,Hybrid,32434.06
High School,25,Urban,Healthcare,System Administrator,Onsite,78386.68
High School,11,Urban,Finance,HR Manager,Onsite,49940.75
High School,1,Rural,Healthcare,Financial Analyst,Hybrid,33294.24
Bachelor's Degree,39,Urban,Healthcare,UX Designer,Remote,91771.71
High School,26,Rural,Finance,Financial Analyst,Remote,70216.21
Master's Degree,17,Rural,Tech,HR Manager,Remote,64552.23
PhD,38,Urban,Finance,Accountant,Hybrid,107688.2
High School,31,Suburban,Education,Others,Onsite,88470.78
Bachelor's Degree,38,Rural,Healthcare,HR Manager,Remote,94383.88
PhD,7,Suburban,Healthcare,System Administrator,Hybrid,61999.36
Master's Degree,23,Urban,Finance,Data Analyst,Remote,75929.79
Bachelor's Degree,27,Rural,Healthcare,Others,Remote,76722.54
High School,24,Rural,Finance,Data Analyst,Onsite,55727.09
Bachelor's Degree,7,Suburban,Education,Medical Assistant,Hybrid,46649.64
High School,29,Suburban,Healthcare,Medical Assistant,Hybrid,78771.14
PhD,18,Urban,Healthcare,System Administrator,Hybrid,72062.1
High School,3,Urban,Tech,Others,Hybrid,28173.08
Bachelor's Degree,39,Urban,Healthcare,Medical Assistant,Hybrid,95682.43
Master's Degree,3,Rural,Finance,Data Analyst,Hybrid,36294.1
Bachelor's Degree,26,Rural,Healthcare,Others,Hybrid,77388.19
High School,19,Urban,Healthcare,Financial Analyst,Onsite,60461.63
Master's Degree,33,Suburban,Tech,Accountant,Onsite,90327.83
Master's Degree,35,Suburban,Finance,Professor,Onsite,94642.62
PhD,18,Rural,Tech,Financial Analyst,Remote,67113.86
Master's Degree,29,Urban,Tech,Data Analyst,Onsite,81249.01
Master's Degree,20,Rural,Healthcare,Data Analyst,Hybrid,75342.75
Bachelor's Degree,0,Urban,Finance,Accountant,Onsite,36557.14
PhD,36,Suburban,Tech,Medical Assistant,Hybrid,97573.79
High School,27,Rural,Tech,Project Manager,Remote,69785.33
Master's Degree,36,Urban,Healthcare,Others,Hybrid,95087.08
Bachelor's Degree,25,Suburban,Healthcare,Web Developer,Remote,72727.03
Bachelor's Degree,6,Rural,Healthcare,Others,Hybrid,47856.27
Master's Degree,10,Suburban,Education,HR Manager,Onsite,62500.18
PhD,2,Rural,Education,Project Manager,Remote,49469.77
Bachelor's Degree,13,Rural,Finance,Software Engineer,Hybrid,52602.2
High School,40,Suburban,Healthcare,Web Developer,Hybrid,87824.74
Bachelor's Degree,30,Suburban,Tech,Financial Analyst,Hybrid,72609.99
Bachelor's Degree,10,Suburban,Education,HR Manager,Hybrid,49356.13
High School,18,Suburban,Tech,System Administrator,Onsite,49948.68
Bachelor's Degree,1,Suburban,Tech,HR Manager,Remote,32653.93
Master's Degree,40,Urban,Healthcare,Accountant,Hybrid,98534.61
Bachelor's Degree,6,Suburban,Education,Accountant,Onsite,51427.56
Bachelor's Degree,20,Suburban,Education,UX Designer,Remote,57793.19
Master's Degree,15,Rural,Healthcare,Accountant,Remote,66166.2
Master's Degree,5,Suburban,Healthcare,Professor,Hybrid,57348.51
PhD,1,Suburban,Finance,Software Engineer,Hybrid,44569.43
PhD,8,Urban,Education,Accountant,Onsite,62336.72
Master's Degree,30,Suburban,Healthcare,Software Engineer,Hybrid,92901.7
Bachelor's Degree,9,Suburban,Education,Data Analyst,Hybrid,53082.84
Master's Degree,8,Urban,Tech,UX Designer,Remote,55706.18
PhD,21,Rural,Finance,Accountant,Remote,77014.74
Bachelor's Degree,8,Suburban,Finance,Data Analyst,Onsite,45658.62
Master's Degree,17,Urban,Tech,Data Analyst,Onsite,68091.59
Bachelor's Degree,23,Urban,Education,UX Designer,Hybrid,70718.7
High School,13,Rural,Finance,HR Manager,Onsite,55011.74
Bachelor's Degree,4,Suburban,Tech,Professor,Onsite,45998.16
Master's Degree,5,Suburban,Education,Data Analyst,Onsite,51882.7
Master's Degree,22,Rural,Tech,UX Designer,Hybrid,67423.77
PhD,29,Urban,Tech,Software Engineer,Onsite,89108.45
Bachelor's Degree,7,Suburban,Healthcare,Professor,Hybrid,39693.19
High School,31,Suburban,Tech,Financial Analyst,Remote,77725.59
High School,34,Urban,Finance,Accountant,Remote,80678.79
Master's Degree,29,Rural,Healthcare,Data Analyst,Onsite,82399.68
High School,30,Urban,Tech,Software Engineer,Onsite,75589.38
PhD,12,Suburban,Finance,Data Analyst,Hybrid,59845.68
Master's Degree,37,Urban,Healthcare,Data Analyst,Hybrid,88416.7
High School,15,Rural,Healthcare,Software Engineer,Onsite,56450.22
High School,40,Rural,Tech,Financial Analyst,Hybrid,85643.77
PhD,29,Urban,Education,Web Developer,Remote,93395.8
High School,3,Rural,Finance,Medical Assistant,Remote,44595.32
Master's Degree,16,Rural,Healthcare,Medical Assistant,Hybrid,54252.05
Bachelor's Degree,23,Rural,Finance,Data Analyst,Hybrid,65246.09
Master's Degree,24,Urban,Healthcare,Software Engineer,Remote,77356.05
Master's Degree,9,Suburban,Education,Financial Analyst,Remote,58907.22
PhD,12,Rural,Education,Professor,Hybrid,64676.3
Bachelor's Degree,1,Rural,Healthcare,System Administrator,Remote,31163.47
Master's Degree,13,Urban,Tech,HR Manager,Hybrid,68763.27
Bachelor's Degree,7,Suburban,Finance,Medical Assistant,Hybrid,43226.96
Bachelor's Degree,27,Rural,Healthcare,Data Analyst,Onsite,79728.26
PhD,29,Urban,Education,Others,Remote,86318.24
PhD,34,Rural,Education,Web Developer,Hybrid,98750.64
Master's Degree,32,Suburban,Education,Financial Analyst,Remote,87303.29
Master's Degree,26,Urban,Education,Medical Assistant,Remote,93262.3
Master's Degree,11,Suburban,Healthcare,Software Engineer,Hybrid,55213.92
PhD,4,Rural,Education,System Administrator,Onsite,45088.77
High School,6,Urban,Healthcare,HR Manager,Hybrid,49621.81
High School,32,Urban,Education,Medical Assistant,Hybrid,72435.26
Bachelor's Degree,35,Suburban,Healthcare,HR Manager,Remote,85248.41
PhD,39,Urban,Tech,System Administrator,Hybrid,100013.54
Bachelor's Degree,11,Suburban,Tech,Project Manager,Onsite,62236.24
Master's Degree,0,Suburban,Finance,HR Manager,Hybrid,41240.12
Master's Degree,5,Suburban,Healthcare,UX Designer,Remote,46702.38
High School,37,Urban,Finance,Professor,Hybrid,89778.96
Bachelor's Degree,25,Urban,Tech,HR Manager,Remote,77957.73
High School,2,Suburban,Healthcare,Accountant,Hybrid,36726.26
Master's Degree,40,Urban,Healthcare,Data Analyst,Remote,109845.64
Bachelor's Degree,39,Suburban,Finance,Financial Analyst,Onsite,98788.91
PhD,1,Suburban,Tech,HR Manager,Hybrid,46810.12
Bachelor's Degree,3,Urban,Finance,System Administrator,Remote,39583.23
High School,30,Rural,Healthcare,Data Analyst,Remote,81512.87
Bachelor's Degree,31,Urban,Education,System Administrator,Onsite,90352.09
Bachelor's Degree,13,Rural,Healthcare,Financial Analyst,Onsite,49095.91
Bachelor's Degree,39,Suburban,Education,Financial Analyst,Remote,102080.84
Bachelor's Degree,12,Suburban,Tech,HR Manager,Hybrid,52720.52
High School,17,Rural,Tech,Web Developer,Hybrid,55107.05
Master's Degree,15,Suburban,Healthcare,Medical Assistant,Onsite,61627.78
High School,24,Rural,Education,Web Developer,Onsite,62262.85
High School,19,Urban,Finance,UX Designer,Remote,66770.58
Bachelor's Degree,26,Urban,Tech,Data Analyst,Onsite,70090.67
Master's Degree,21,Rural,Healthcare,Professor,Hybrid,68483.52
Bachelor's Degree,32,Urban,Healthcare,Accountant,Onsite,87867.79
PhD,20,Suburban,Finance,Web Developer,Remote,82456.24
PhD,13,Urban,Tech,Medical Assistant,Remote,71881.78
PhD,37,Suburban,Healthcare,Professor,Remote,102376.6
High School,25,Urban,Finance,UX Designer,Hybrid,74875.11
Bachelor's Degree,2,Suburban,Finance,Web Developer,Hybrid,38596.56
High School,37,Urban,Finance,Financial Analyst,Onsite,88586.86
Bachelor's Degree,10,Suburban,Healthcare,UX Designer,Hybrid,51543.59
High School,4,Urban,Healthcare,Medical Assistant,Hybrid,36305.16
PhD,25,Urban,Finance,Web Developer,Hybrid,83608.13
High School,18,Rural,Finance,Accountant,Remote,55592.29
PhD,0,Rural,Tech,Others,Remote,51292.76
High School,32,Urban,Finance,Accountant,Remote,70502.59
Bachelor's Degree,8,Rural,Healthcare,Professor,Remote,51434.95
High School,7,Urban,Tech,UX Designer,Remote,41345.78
High School,32,Suburban,Healthcare,Project Manager,Remote,74190.11
High School,16,Rural,Healthcare,Project Manager,Hybrid,66188.35
Bachelor's Degree,18,Suburban,Education,HR Manager,Hybrid,61691.12
PhD,0,Rural,Education,UX Designer,Remote,48817.14
PhD,1,Suburban,Tech,UX Designer,Hybrid,43592.64
High School,34,Suburban,Finance,Professor,Hybrid,86230.78
PhD,0,Suburban,Healthcare,Accountant,Hybrid,49216.77
High School,3,Urban,Tech,Software Engineer,Remote,34801.25
PhD,23,Urban,Finance,Web Developer,Hybrid,83937.61
PhD,7,Urban,Tech,Others,Hybrid,66020.55
Bachelor's Degree,12,Rural,Education,Others,Hybrid,49493.75
High School,2,Rural,Healthcare,Medical Assistant,Hybrid,37880.69
High School,27,Urban,Education,UX Designer,Hybrid,71728.98
Master's Degree,37,Rural,Tech,HR Manager,Onsite,95949.29
PhD,34,Urban,Healthcare,Professor,Onsite,90619.56
High School,3,Rural,Tech,Project Manager,Remote,36429.37
Bachelor's Degree,13,Urban,Education,Data Analyst,Hybrid,55005.23
Bachelor's Degree,15,Rural,Finance,UX Designer,Onsite,53111.56
Bachelor's Degree,3,Rural,Finance,Accountant,Remote,48203.96
Bachelor's Degree,15,Suburban,Healthcare,System Administrator,Onsite,42009.26
Bachelor's Degree,40,Suburban,Healthcare,Financial Analyst,Onsite,89070.93
PhD,9,Suburban,Tech,Medical Assistant,Onsite,56876.29
Master's Degree,33,Rural,Healthcare,Medical Assistant,Remote,90691.42
High School,1,Suburban,Tech,HR Manager,Remote,35393.35
Bachelor's Degree,36,Urban,Education,Web Developer,Onsite,96016.83
PhD,25,Suburban,Education,Financial Analyst,Hybrid,85242.32
High School,6,Urban,Healthcare,Professor,Onsite,40811.23
Bachelor's Degree,29,Suburban,Healthcare,Professor,Onsite,79170.12
PhD,38,Urban,Education,Software Engineer,Onsite,103942.72
PhD,34,Suburban,Healthcare,Others,Remote,93548.81
PhD,13,Urban,Finance,UX Designer,Onsite,67659.72
Bachelor's Degree,22,Suburban,Finance,Others,Hybrid,62401.18
PhD,12,Urban,Finance,Web Developer,Hybrid,63574.06
Master's Degree,37,Rural,Healthcare,Medical Assistant,Remote,103287.59
Master's Degree,16,Urban,Education,HR Manager,Remote,70289.48
Bachelor's Degree,40,Rural,Finance,UX Designer,Onsite,99889.49
High School,40,Suburban,Healthcare,System Administrator,Hybrid,96158.25
Bachelor's Degree,35,Rural,Healthcare,UX Designer,Hybrid,83974.13
High School,38,Suburban,Education,Others,Hybrid,94667.5
Master's Degree,3,Rural,Tech,Medical Assistant,Hybrid,42524.89
Master's Degree,9,Urban,Education,Accountant,Onsite,55172.73
PhD,11,Suburban,Healthcare,UX Designer,Hybrid,67314.39
PhD,9,Rural,Education,Financial Analyst,Onsite,67343.53
Master's Degree,22,Suburban,Healthcare,Web Developer,Onsite,74649.46
High School,16,Rural,Tech,Others,Hybrid,57195.66
High School,32,Suburban,Finance,HR Manager,Onsite,80689.99
PhD,40,Urban,Education,Professor,Onsite,115029.52
Master's Degree,14,Urban,Tech,Web Developer,Remote,68374.49
